file,bucket,has_url,has_pdf,reason
"Halva",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Healthy_Nutella_–_Homemade",FULL,true,false,"real content, prose-ish → good Vinst candidate"
"Himmas_Kassa",CLEAN,false,false,"structured ingredients + steps present"
"Homemade_Baileys_Irish_Cream_Recipe_-_Averie_Cooks",STUB,true,false,"stub w/ source url → URL import"
"Homemade_Beef_Jerky_Recipe_-_Allrecipes.com",FULL,true,false,"partial content → Vinst candidate"
"Homemade_Beef_Jerky_Recipe_-_Allrecipes.com_2",FULL,false,false,"partial content → Vinst candidate"
"Homemade_Cocktail_Bitters_Recipe",FULL,true,false,"partial content → Vinst candidate"
"Homemade_Marshmallow_Fluff_Liv_for_Cake",STUB,true,false,"stub w/ source url → URL import"
"Homemade_Oatmeal_Cream_Pies",STUB,true,false,"stub w/ source url → URL import"
"Homemade_Phyllo_(or_Filo)_Dough_Recipe_Allrecipes",FULL,true,false,"partial content → Vinst candidate"
"Homemade_Pierogi",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Homemade_Pomegranate_Liqueur_10_Steps_(with_Pictures)_-_Instructables",FULL,true,false,"partial content → Vinst candidate"
"Homemade_Sourdough_Croissants_-_Aberle_Home",PDF,true,true,"content likely in PDF: attachments/Homemade_Sourdough_Croissants_-_Aberle_Home_1/sourdough_crusions.pdf"
"Honey-Roasted_Root_Vegetable_Salad_Recipe_-_Michael_Romano_Food_&_Wine",STUB,true,false,"stub w/ source url → URL import"
"Honey_Tahini_Cookies",CLEAN,false,true,"structured ingredients + steps present"
"How_I_Bake_Sourdough_Bread",FULL,false,false,"partial content → Vinst candidate"
"How_I_Bake_Sourdough_Bread_Day_1_rami_levi_bread_flour",FULL,true,false,"partial content → Vinst candidate"
"How_To_Bake_Fresh_Bread_Without_An_Oven",FULL,true,false,"partial content → Vinst candidate"
"How_To_Make_Bitters_Feasting_At_Home",FULL,true,false,"partial content → Vinst candidate"
"How_To_Make_Butter_(and_Cultured_Butter!)_Kitchn",STUB,true,false,"stub w/ source url → URL import"
"How_To_Make_Mozzarella_Cheese",FULL,true,false,"partial content → Vinst candidate"
"How_To_Make_Sourdough_Cardamom_Buns_-_Bread_By_Elise",STUB,true,false,"stub w/ source url → URL import"
"How_To_Make_Sourdough_Cardamom_Buns_-_Bread_By_Elise_2",CLEAN,false,false,"structured ingredients + steps present"
"How_to_Bake_a_Whole_Chicken_in_a_Salt_Crust_PaleoScaleo",STUB,true,false,"stub w/ source url → URL import"
"How_to_Make_Almond_Milk_Minimalist_Baker_Recipes",STUB,true,false,"stub w/ source url → URL import"
"How_to_Make_Chicken_Stock_SimplyRecipes.com",FULL,true,false,"partial content → Vinst candidate"
"How_to_Make_Japanese_Soufflé_Creme_Brûlée_Pancakes_·_i_am_a_food_blog_i_am_a_food_blog",FULL,true,false,"partial content → Vinst candidate"
"How_to_make_sticky_toffee_pudding_–_recipe_Felicity_Cloake’s_masterclass",PDF,true,true,"content likely in PDF: attachments/How_to_make_sticky_toffee_pudding_–_recipe_Felicity_Cloake’s_masterclass_1/How_to_make_sticky_toffee_pudding_–_recipe_Felicity_Cloake’s_masterclass_Food_The_Guardian.pdf"
"Hungarian_Goulash_-_Spend_With_Pennies",CLEAN,true,false,"structured ingredients + steps present"
"Hungarian_Kohlrabi_Soup_(Kalarabeleves)_-_Homemade_In_The_Kitchen",STUB,true,false,"stub w/ source url → URL import"
"Hungarian_plum_cake",CLEAN,true,false,"structured ingredients + steps present"
"Indian_barfi_fudge",CLEAN,true,false,"structured ingredients + steps present"
"Italian_marinade",FULL,false,false,"partial content → Vinst candidate"
"Item_shared_with_you_Triple_Chocolate_Mousse_Torte_-_A_baJillian_Recipes.pdf_",FULL,true,false,"partial content → Vinst candidate"
"Jacques_Torres_Chocolate_Chip_Cookies",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Jacques_Torres_Chocolate_Chip_Cookies_Bake_or_Break",PDF,true,true,"content likely in PDF: attachments/Jacques_Torres_Chocolate_Chip_Cookies_Bake_or_Break_1/Jacques_Torres_Chocolate_Chip_Cookies_Bake_or_Break.pdf"
"Jam_cake",FULL,true,false,"partial content → Vinst candidate"
"KITCHEN_CURATIONS_BLACK_BEAN_BROWNIES,_3_WAYS_—_Nutrition_Curator",STUB,true,false,"stub w/ source url → URL import"
"Kalua_recipe",FULL,true,false,"partial content → Vinst candidate"
"Karaage_(Japanese_Fried_Chicken)_唐揚げ_•_Just_One_Cookbook",STUB,true,false,"stub w/ source url → URL import"
"Kasha",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Kitchn_How_To_Make_the_Very_Best_Sweet_Cornbread",CLEAN,false,true,"structured ingredients + steps present"
"Kolrabi_pickels",CLEAN,false,true,"structured ingredients + steps present"
"Kubaneh_Recipe_Cuisine_Fiend",STUB,true,false,"stub w/ source url → URL import"
"Latvian_cold_beet_soup",CLEAN,false,true,"structured ingredients + steps present"
"Lekvar_(Prune_Butter)",FULL,true,false,"partial content → Vinst candidate"
"Lekvar_(Prune_Filling_or_Prune_Butter)",CLEAN,true,false,"structured ingredients + steps present"
"Lemon_Buttermilk_Muffin",FULL,false,false,"partial content → Vinst candidate"
"Lemon_Buttermilk_Muffin_2",FULL,false,false,"partial content → Vinst candidate"
"Lemon_Pound_Cake_-_Once_Upon_a_Chef",FULL,true,false,"partial content → Vinst candidate"
"MARGARITA",FULL,false,false,"partial content → Vinst candidate"
"Mac_pasta",FULL,false,false,"partial content → Vinst candidate"
"Magic_Three_Layer_Custard_Cake",CLEAN,true,true,"structured ingredients + steps present"
"Make_Your_Own_Herbes_De_Provence",FULL,false,false,"partial content → Vinst candidate"
"Make_Your_Own_Slow_Cooker_Beef_Bone_Broth",STUB,true,false,"stub w/ source url → URL import"
"Make_Your_Own_Slow_Cooker_Beef_Bone_Broth_2",CLEAN,true,false,"structured ingredients + steps present"
"Mango_Pickle_Recipe_(South_Indian_Style)_-_Swasthi's_Recipes",STUB,true,false,"stub w/ source url → URL import"
"Marcella_Hazan's_4-Ingredient_Tomato_Sauce_Recipe_The_Kitchn",STUB,true,false,"stub w/ source url → URL import"
"Masapan_(Marzipan)_—_Jewish_Food_Society",FULL,true,false,"partial content → Vinst candidate"
"Mascarpone_Mousse_Recipe_-_Food.com",CLEAN,true,false,"structured ingredients + steps present"
"Mascarpone_and_Sweet_Cream_Ice_Cream_Recipe_no-churn_ice_cream",CLEAN,false,false,"structured ingredients + steps present"
"Meat_6_recipe",FULL,false,false,"partial content → Vinst candidate"
"Meat_Pie_recipe!_RecipeTin_Eats",STUB,true,false,"stub w/ source url → URL import"
"Meat_berakos",FULL,true,false,"partial content → Vinst candidate"
"Meat_berakos_2",FULL,true,false,"partial content → Vinst candidate"
"Meatballs_with_Any_Meat",FULL,true,false,"partial content → Vinst candidate"
"Mozzarella",CLEAN,false,true,"structured ingredients + steps present"
"Mushroom_Potpie",CLEAN,true,false,"structured ingredients + steps present"
"Napoleon",FULL,true,false,"partial content → Vinst candidate"
"Naturally_Leavened_Bomboloni_(Doughnuts)_סופגניות",PDF,true,true,"content likely in PDF: attachments/Naturally_Leavened_Bomboloni_(Doughnuts)_סופגניות_1/Naturally_Leavened_Bomboloni_(Doughnuts)_The_Perfect_Loaf.pdf"
"New_York_Style_Sourdough_Bagels_BAKED",STUB,true,false,"stub w/ source url → URL import"
"New_York_Style_Sourdough_Bagels_BAKED_2",FULL,false,false,"partial content → Vinst candidate"
"New_York_Style_Sourdough_Bagels_BAKED_3",CLEAN,true,false,"structured ingredients + steps present"
"Ninja_Grilled_Salmon",FULL,true,false,"partial content → Vinst candidate"
"Ninja_Woodfire_Grill_Smoky_Whole_Chicken_-_Grill_What_You_Love",FULL,true,false,"partial content → Vinst candidate"
"No_Bake_Cheesecake_With_Condensed_Milk_-_Cooking_With_Carlee",STUB,true,false,"stub w/ source url → URL import"
"Non-Traditional_Passover_Carrot_Cake",FULL,true,false,"partial content → Vinst candidate"
"Nougat",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Oatmeal_Creme_Pies",FULL,true,false,"partial content → Vinst candidate"
"Oatmeal_עוגיות",FULL,false,false,"partial content → Vinst candidate"
"Old_Fashioned_Potato_Knishes_–_Kosher_From_Jerusalem",FULL,true,false,"partial content → Vinst candidate"
"Onion_rings",FULL,false,false,"partial content → Vinst candidate"
"Overnight_Baked_Blueberry_Muffin_Oatmeal_-_A_Beautiful_Mess",CLEAN,true,false,"structured ingredients + steps present"
"Overnight_waffle",CLEAN,false,true,"structured ingredients + steps present"
"PIANA_BIANKO_פאנה_ביאנקו_לחם_איטלקי",PDF,true,true,"content likely in PDF: attachments/PIANA_BIANKO_פאנה_ביאנקו_לחם_איטלקי_1/PIANA_BIANKO.pdf"
"PICKLED_ARTICHOKES",CLEAN,false,true,"structured ingredients + steps present"
"Paneer",FULL,false,false,"partial content → Vinst candidate"
"Pastila",FULL,true,false,"partial content → Vinst candidate"
"Pecan_Pie_Cheesecake_Recipe",CLEAN,true,false,"structured ingredients + steps present"
"Perfect_Pumpkin_Pie_Recipe_Allrecipes",STUB,true,false,"stub w/ source url → URL import"
"Perfect_Pumpkin_Pie_Recipe_Allrecipes_2",FULL,false,false,"partial content → Vinst candidate"
"Pickled_Tongue_Recipe_Serious_Eats",FULL,true,false,"partial content → Vinst candidate"
"Pickled_Tongue_Recipe_Serious_Eats_2",FULL,true,false,"partial content → Vinst candidate"
"Pickled_Tongue_Recipe_Serious_Eats_3",FULL,true,false,"partial content → Vinst candidate"
"Pickling_Spice",FULL,false,false,"partial content → Vinst candidate"
